MW22,MW23,LAT,GDPACMP20,GDPACMP21,GDPACMP22,GDPACMP23,UR20,UR21,UR22,UR23,LONG,EI10,EI11,EI12,EI13,EI14,EI15,EI16,EI17,EI18,ID,AREA,POP10,POP20,PROVINCE
1812935,1958169,-7.8753849,-2.67,5.58,5.15,5.07,4.57,4.56,4.06,3.69,110.4262088,67.67,69.01,69.44,69.82,70.7,71.75,72.71,73.47,74.29,14,3133.15,3457491,3668719,Daerah Istimewa Yogyakarta
1840915,1981782,-7.5360639,-2.33,3.56,5.34,4.95,5.84,5.74,5.49,4.88,112.2384017,54.36,54.9,55.43,56.79,58.09,58.98,60.16,60.83,61.02,15,46689.64,37476757,40665696,Jawa Timur
1891567,2040244,-6.4058172,-3.39,4.49,5.03,4.81,10.64,8.98,8.09,7.52,106.0640179,57.02,58.2,59.61,60.68,61.48,61.86,63.18,63.93,64.43,16,9018.64,10632166,11904562,Banten
2516971,2713672,-8.4095178,-9.34,-2.46,4.84,5.71,5.63,5.37,4.8,2.69,115.188916,58.3,59.57,60.87,61.46,62.16,63.55,64.09,65.19,65.58,17,5449.37,3890757,4317404,Bali
2207212,2371407,-8.6529334,-0.62,2.3,6.95,1.8,4.22,3.01,2.89,2.8,117.3616476,51.5,53.49,55.03,56.41,57.6,58.6,59.19,60.39,60.85,18,19708.79,4500212,5320092,Nusa Tenggara Barat
1975000,2123994,-8.6573819,-0.84,2.52,3.05,3.52,4.28,3.77,3.54,3.14,121.0793705,51.81,54.09,54.94,56.61,57.98,58.76,59.43,60.14,60.72,19,46137.87,4683827,5325566,Nusa Tenggara Timur
2434328,2608601,-0.2787808,-1.82,4.8,5.07,4.46,5.81,5.82,5.11,5.05,111.4752851,50.87,51.06,52.92,54.54,55.78,57.12,57.63,58.22,58.59,20,120114.32,4395983,5414390,Kalimantan Barat
2922516,3181013,-1.6814878,-1.41,3.59,6.45,4.14,4.58,4.53,4.26,4.1,113.3823545,56.18,56.56,56.94,58.52,59.23,60.72,61.35,62.22,62.76,21,153564.5,2212089,2669969,Kalimantan Tengah
2906473,3149977,-3.0926415,-1.82,3.48,5.11,4.84,4.74,4.95,4.74,4.31,115.2837585,54.35,55.51,56.98,57.73,58.55,59.77,60.44,61.24,61.39,22,37530.52,3626616,4073584,Kalimantan Selatan
3014497,3201396,1.6406296,-2.9,2.55,4.48,6.22,6.87,6.83,5.71,5.31,116.419389,61.5,62.79,64.04,65.27,66.7,67.1,67.88,68.67,69.57,23,194849.08,3553143,3766039,Kalimantan Timur
3016738,3251702,-2.7410513,-1.09,3.99,5.32,4.94,4.97,4.58,4.33,4.01,106.4405872,0,0,0,61.19,62.62,62.68,63.27,64.26,65.18,24,72567.49,738163,701814,Kalimantan Utara
3310723,3485000,0.6246932,-0.99,4.16,5.42,5.48,7.37,7.06,6.61,6.1,123.9750018,60.35,60.89,61.74,62.3,63.33,64.14,64.73,65.63,66.02,25,13930.73,2270596,2621923,Sulawesi Utara
2390739,2599546,-1.4300254,4.86,11.68,15.22,11.91,3.77,3.75,3,2.95,121.4456179,56.54,58.48,59.36,60.4,61.63,61.89,62.96,63.86,64.87,26,68089.83,2635009,2985734,Sulawesi Tengah
3165876,3385145,-3.6687994,-0.71,4.64,5.1,4.51,6.31,5.72,4.51,4.33,119.9740534,56.16,57.25,58.34,59.64,60.79,61.55,62.39,63.39,63.79,27,46116.45,8034776,9073509,Sulawesi Selatan
2576016,2758948,-4.14491,-0.65,4.1,5.53,5.35,4.58,3.92,3.36,3.15,122.174605,58.98,59.73,60.45,61.01,62.24,63.57,64.51,65.31,66.55,28,36757.45,2232586,2624875,Sulawesi Tenggara
2800580,2989350,0.6999372,-0.02,2.4,4.04,4.5,4.28,3.01,2.58,3.06,122.4467238,53.73,55.42,55.82,56.89,57.92,58.78,59.51,60.41,61.06,29,12165.44,1040164,1171681,Gorontalo
2678863,2871794,-2.8441371,-2.34,2.57,2.31,5.25,3.32,3.13,2.34,2.27,119.2320784,51.48,53.32,53.87,54.73,55.63,57.06,58.08,59.03,59.97,30,16787.19,1158651,1419229,Sulawesi Barat
2619312,2812827,1.5709993,-0.91,3.63,5.31,5.21,7.57,6.93,6.88,6.31,127.8087693,63.86,64.75,65.33,66.47,68.1,68.2,69.04,69.91,70.6,31,47350.42,1533506,1848923,Maluku
3200000,3282000,-1.3361154,-0.76,-0.51,2.01,3.91,6.8,5.84,5.37,5.38,133.1747162,53.41,53.87,54.7,55.46,56.17,56.86,57.59,58.47,59.04,32,114566.4,760422,1134068,Papua Barat
3561932,3864696,-4.269928,2.39,15.16,8.97,5.22,4.28,3.33,2.83,2.67,138.0803529,42.45,43.43,44.41,45.76,46.82,47.6,48.92,50.18,51.82,33,309934.4,2833381,4303707,Papua
