EI10,EI11,EI12,EI13,EI14,EI15,EI16,EI17,EI18,UR20,UR21,UR22,UR23,ID,POP10,POP20,AREA,LAT,LONG,MW22,MW23,PROVINCE,GDPACMP20,GDPACMP21,GDPACMP22,GDPACMP23
54.34,55.15,56.27,58.08,59.26,59.95,60.67,61.63,61.75,10.46,9.82,8.31,7.44,12,43053732,48274162,36925.05,-7.090911,107.668887,2501203,2661280,Jawa Barat,-2.52,3.74,5.45,5
53.18,53.53,54.21,55.68,56.88,57.82,58.42,59.15,59.58,6.48,5.95,5.57,5.13,13,32382657,36516035,32799.71,-7.150975,110.1402594,1841487,1986670,Jawa Tengah,-2.65,3.33,5.31,4.98
67.67,69.01,69.44,69.82,70.7,71.75,72.71,73.47,74.29,4.57,4.56,4.06,3.69,14,3457491,3668719,3133.15,-7.8753849,110.4262088,1812935,1958169,Daerah Istimewa Yogyakarta,-2.67,5.58,5.15,5.07
54.36,54.9,55.43,56.79,58.09,58.98,60.16,60.83,61.02,5.84,5.74,5.49,4.88,15,37476757,40665696,46689.64,-7.5360639,112.2384017,1840915,1981782,Jawa Timur,-2.33,3.56,5.34,4.95
57.02,58.2,59.61,60.68,61.48,61.86,63.18,63.93,64.43,10.64,8.98,8.09,7.52,16,10632166,11904562,9018.64,-6.4058172,106.0640179,1891567,2040244,Banten,-3.39,4.49,5.03,4.81
58.3,59.57,60.87,61.46,62.16,63.55,64.09,65.19,65.58,5.63,5.37,4.8,2.69,17,3890757,4317404,5449.37,-8.4095178,115.188916,2516971,2713672,Bali,-9.34,-2.46,4.84,5.71
51.5,53.49,55.03,56.41,57.6,58.6,59.19,60.39,60.85,4.22,3.01,2.89,2.8,18,4500212,5320092,19708.79,-8.6529334,117.3616476,2207212,2371407,Nusa Tenggara Barat,-0.62,2.3,6.95,1.8
51.81,54.09,54.94,56.61,57.98,58.76,59.43,60.14,60.72,4.28,3.77,3.54,3.14,19,4683827,5325566,46137.87,-8.6573819,121.0793705,1975000,2123994,Nusa Tenggara Timur,-0.84,2.52,3.05,3.52
50.87,51.06,52.92,54.54,55.78,57.12,57.63,58.22,58.59,5.81,5.82,5.11,5.05,20,4395983,5414390,120114.32,-0.2787808,111.4752851,2434328,2608601,Kalimantan Barat,-1.82,4.8,5.07,4.46
56.18,56.56,56.94,58.52,59.23,60.72,61.35,62.22,62.76,4.58,4.53,4.26,4.1,21,2212089,2669969,153564.5,-1.6814878,113.3823545,2922516,3181013,Kalimantan Tengah,-1.41,3.59,6.45,4.14
54.35,55.51,56.98,57.73,58.55,59.77,60.44,61.24,61.39,4.74,4.95,4.74,4.31,22,3626616,4073584,37530.52,-3.0926415,115.2837585,2906473,3149977,Kalimantan Selatan,-1.82,3.48,5.11,4.84
61.5,62.79,64.04,65.27,66.7,67.1,67.88,68.67,69.57,6.87,6.83,5.71,5.31,23,3553143,3766039,194849.08,1.6406296,116.419389,3014497,3201396,Kalimantan Timur,-2.9,2.55,4.48,6.22
0,0,0,61.19,62.62,62.68,63.27,64.26,65.18,4.97,4.58,4.33,4.01,24,738163,701814,72567.49,-2.7410513,106.4405872,3016738,3251702,Kalimantan Utara,-1.09,3.99,5.32,4.94
60.35,60.89,61.74,62.3,63.33,64.14,64.73,65.63,66.02,7.37,7.06,6.61,6.1,25,2270596,2621923,13930.73,0.6246932,123.9750018,3310723,3485000,Sulawesi Utara,-0.99,4.16,5.42,5.48
56.54,58.48,59.36,60.4,61.63,61.89,62.96,63.86,64.87,3.77,3.75,3,2.95,26,2635009,2985734,68089.83,-1.4300254,121.4456179,2390739,2599546,Sulawesi Tengah,4.86,11.68,15.22,11.91
56.16,57.25,58.34,59.64,60.79,61.55,62.39,63.39,63.79,6.31,5.72,4.51,4.33,27,8034776,9073509,46116.45,-3.6687994,119.9740534,3165876,3385145,Sulawesi Selatan,-0.71,4.64,5.1,4.51
58.98,59.73,60.45,61.01,62.24,63.57,64.51,65.31,66.55,4.58,3.92,3.36,3.15,28,2232586,2624875,36757.45,-4.14491,122.174605,2576016,2758948,Sulawesi Tenggara,-0.65,4.1,5.53,5.35
53.73,55.42,55.82,56.89,57.92,58.78,59.51,60.41,61.06,4.28,3.01,2.58,3.06,29,1040164,1171681,12165.44,0.6999372,122.4467238,2800580,2989350,Gorontalo,-0.02,2.4,4.04,4.5
51.48,53.32,53.87,54.73,55.63,57.06,58.08,59.03,59.97,3.32,3.13,2.34,2.27,30,1158651,1419229,16787.19,-2.8441371,119.2320784,2678863,2871794,Sulawesi Barat,-2.34,2.57,2.31,5.25
63.86,64.75,65.33,66.47,68.1,68.2,69.04,69.91,70.6,7.57,6.93,6.88,6.31,31,1533506,1848923,47350.42,1.5709993,127.8087693,2619312,2812827,Maluku,-0.91,3.63,5.31,5.21
53.41,53.87,54.7,55.46,56.17,56.86,57.59,58.47,59.04,6.8,5.84,5.37,5.38,32,760422,1134068,114566.4,-1.3361154,133.1747162,3200000,3282000,Papua Barat,-0.76,-0.51,2.01,3.91
42.45,43.43,44.41,45.76,46.82,47.6,48.92,50.18,51.82,4.28,3.33,2.83,2.67,33,2833381,4303707,309934.4,-4.269928,138.0803529,3561932,3864696,Papua,2.39,15.16,8.97,5.22
